name,amenities,description,score
HOTEL CASA REAL,"Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Actividades infantiles (Ideal para niños / familias),Centro de negocios con acceso a Internet,Instalaciones para conferencias,Hotel para no fumadores,Limpieza en seco,Servicio de lavandería,Wifi,Bar/Salón,Restaurante,Salas de reuniones,Aire acondicionado,Servicio a la habitación,Minibar,Refrigerador,Habitaciones para no fumadores,Suites,Habitaciones para familias,Habitaciones para fumadores disponibles","¿Buscas donde alojarte en Monteria? Entonces no te pierdas HOTEL CASA REAL, un hotel pequeño romántico que te acerca a lo mejor de Monteria.,Las habitaciones de Hotel Casa Real incluyen minibar, aire acondicionado y frigorífico para una comodidad mucho mayor, y los huéspedes pueden permanecer conectados con wifi gratuito.,Servicio de habitaciones es uno de los servicios que ofrece el hotel pequeño. Su desayuno incluido también contribuirá a que tu estancia sea incluso más especial.,Como está muy cerca de Catedral de San Jeronimo (3,5 km), los huéspedes de Hotel Casa Real pueden acceder con facilidad a una de las atracciones más populares de Monteria.,Durante tu estancia en Monteria, puedes probar pubs como La Golondrina Gourmet, que sirven fantásticos platos.,Durante tu viaje, no te olvides de ir a ver parques, como Parque Simón bolivar.,Estamos seguros de que disfrutarás de tu estancia en HOTEL CASA REAL mientras descubres todo lo que Monteria ofrece.,Leer más",40
Hotel Novotel Medellin El Tesoro,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Juegos de mesa/Rompecabezas,Los niños se alojan gratis,Guardería,Garaje de estacionamientos,Wifi,Toallas para la piscina/playa,Juguetes para piscina,Piscina en la terraza,Piscina con vista,Piscina al aire libre,Piscina climatizada,Bar/Salón,Restaurante,Desayuno bufet,Desayuno en la habitación,Bebida de bienvenida de cortesía,Bufé apto para niños,Comidas para niños,Cadenas de televisión para niños,Actividades infantiles (Ideal para niños / familias),Piscina para niños,Sillitas altas disponibles,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Masaje en pareja,Tratamientos faciales,Baño de pies,Masaje de pies,Masaje de cuerpo completo,Masaje de manos,Masaje de cabeza,Manicura,Masaje,Masaje de cuello,Pedicura,Salón de belleza,Servicios de depilación,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Minimercado,Periódico,Hotel para no fumadores,Kit de primeros auxilios,Paraguas,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Baño adicional,Máquina de café/té,TV por cable/satélite,Sofá cama,Productos de tocador de cortesía,Habitaciones insonorizadas,Purificador de aire,Batas de baño,Escritorio,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Teléfono,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Baños privados,Servicio de despertador/Reloj despertador,Lavavajillas,Microondas,Minibar,Refrigerador,TV pantalla plana,Secador de pelo,Vista a la montaña,Vista a la ciudad,Habitaciones para no fumadores,Suites,Habitaciones para familias","¿Buscas un hotel completo para desconectarte de la vida y relajarte? Entonces el Novotel Medellín El Tesoro es el lugar para ti. Ubicado en el barrio El Poblado, zona financiera y turística de la ciudad, el hotel con piscina dispone de habitaciones modernas, gimnasio, SPA con servicios de masajes, tratamientos y salón de belleza, además de bar y restaurante, con platos típicos de Latinoamérica y especializado en cocina de autor. Disfruta de tu estadía en una de nuestras modernas habitaciones, hay opciones con sala de estar y comedor, y suites modernas y espaciosas. Con una ubicación privilegiada, el hotel tiene fácil acceso a lugares turísticos de Medellín. Puedes visitar los parques de la ciudad. Hay varios a sólo unos minutos en coche, como el Parque Lleras, que se ha convertido en un punto de encuentro en la capital de Antioquia, y el Parque de la Bailarina, con una gran zona verde. Ambos están a menos de 10 minutos en coche. Otro hermoso lugar para visitar es el Cerro Nutibara, el centro geográfico del conocido Valle de Aburrá. ¡Haz una visita guiada para disfrutar de una de las mejores vistas de la capital colombiana!,Leer más",45
The Click Clack Hotel Medellín,"Estacionamiento con servicio de valet,Internet de alta velocidad gratuito (WiFi),Piscina en la terraza,Desayuno gratis,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Terraza en la azotea,Seguridad las 24 horas,Wifi,Bar/Salón,Restaurante,Desayuno bufet,Desayuno en la habitación,Bar junto a la piscina,Bar en la terraza,Servicio de taxi,Almacenamiento de equipaje,Conserje,Paraguas,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Cortinas blackout,Aire acondicionado,Escritorio,Servicio de limpieza,Servicio a la habitación,Minibar,TV por cable/satélite,Bañera/Ducha,Caja fuerte,Teléfono,TV pantalla plana,Secador de pelo,Habitaciones para no fumadores,Suites",,35
Haven A Design Hotel,"Estacionamiento con servicio de valet,Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Patio,Club nocturno/DJ,Los niños se alojan gratis,Cadenas de televisión para niños,Estacionamiento privado pagado cercano,Wifi,Toallas para la piscina/playa,Juguetes para piscina,Piscina en la terraza,Piscina con vista,Piscina para adultos,Piscina al aire libre,Piscina climatizada,Parte poco profunda de la piscina,Valla alrededor de la piscina,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Café instantáneo gratis,Té de cortesía,Bebida de bienvenida de cortesía,Happy Hour,Bufé apto para niños,Comidas para niños,Comedor al aire libre,Bar de aperitivos,Menús para dietas especiales,Vino/Champagne,Bar en la piscina,Bar junto a la piscina,Bar en la terraza,Piscina para niños,Sillitas altas disponibles,Carriolas/cochecitos,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Alquiler de autos,Servicio de taxi,Instalaciones para conferencias,Salón de banquetes,Fotocopiadora/Fax en el centro de negocios,Envoltura corporal,Masaje en pareja,Tratamientos faciales,Baño de pies,Masaje de pies,Masaje de cuerpo completo,Masaje de manos,Masaje de cabeza,Servicios de maquillaje,Manicura,Masaje,Silla de masajes,Masaje de cuello,Pedicura,Solárium,Servicios de depilación,Terraza en la azotea,Seguridad las 24 horas,Instalaciones para hacer parrillas,Almacenamiento de equipaje,Conserje,Cambio de divisas,Acceso a sala de estar ejecutiva,Periódico,Hotel para no fumadores,Muebles de exterior,Solárium,Terraza solárium,Sombrillas,Servicio de mayordomo,Portero,Kit de primeros auxilios,Paraguas,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Check-in y check-out privado,Secador de ropa,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Escritorio,Máquina de café/té,TV por cable/satélite,Camas extralargas,Bañera con hidromasaje,Habitaciones insonorizadas,Batas de baño,Comedor,Servicio de limpieza,Habitaciones interconectadas disponibles,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Comedor separado,Sala de estar separada,Sofá,Teléfono,Instalaciones de habitación VIP,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Caja de seguridad para computadora portátil,Baños privados,Piso de azulejos/mármol,Servicio de despertador/Reloj despertador,Microondas,Minibar,Refrigerador,Cocina,Utensilios de cocina,TV pantalla plana,Radio,Bañera/Ducha,Productos de tocador de cortesía,Secador de pelo,Vista a la montaña,Vista a la ciudad,Vista a un lugar de interés,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias,Habitaciones para fumadores disponibles,Vista a la piscina","Bienvenido a un paraíso de energía y lujo en uno de los hoteles más modernos de Medellín. Nuestro hotel de suites es perfecto para personas que viajan solas, grupos de amigos y parejas sociales por igual. Nuestro moderno diseño garantiza que no haya dos suites iguales. Relájese en una de las mejores piscinas en la azotea de Medellín, socialice en nuestro lobby bar o beba cócteles curados en nuestro impresionante bar y terraza en la azotea. Buscando elevar su estadía, eche un vistazo al ático más moderno de Medellín. Situado en el corazón del animado Poblado, Haven es perfecto para disfrutar de la mejor vida nocturna que la ciudad tiene para ofrecer. Y cuando esté listo, puede regresar a casa a hermosas suites, personal amable y niveles de servicio elevados. Creamos experiencias incomparables porque te las mereces.,Leer más",45
Selina Medellin,"Estacionamiento público pagado cercano,Wifi,Clases de yoga,Bar/Salón,Personal de entretenimiento,Entretenimiento nocturno,Se admiten mascotas (Se aceptan perros / mascotas),Centro de negocios con acceso a Internet,Sala de yoga,Restaurante,Desayuno disponible,Club nocturno/DJ,Instalaciones para conferencias,Salas de reuniones,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Cocina compartida,Servicio de lavandería,Lavandería de autoservicio,Servicio de limpieza,Ducha a ras de suelo,Habitaciones para no fumadores,Suites,Habitaciones para familias",,40
Blues Suites Medellín,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Tours a pie,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Spa,Estacionamiento con servicio de valet,Wifi,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Café instantáneo gratis,Menús para dietas especiales,Vino/Champagne,Bar en la terraza,Servicio de traslado en autobús,Servicio de taxi,Masaje en pareja,Tratamientos faciales,Masaje de pies,Masaje de cuerpo completo,Masaje de manos,Masaje de cabeza,Masaje,Masaje de cuello,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Muebles de exterior,Sombrillas,Portero,Kit de primeros auxilios,Paraguas,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Secador de ropa,Servicio de lavandería,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Escritorio,Máquina de café/té,TV por cable/satélite,Sofá cama,Productos de tocador de cortesía,Servicio de limpieza,Habitaciones interconectadas disponibles,Balcón privado,Caja fuerte,Sala de estar,Sala de estar separada,Sofá,Teléfono,Instalaciones de habitación VIP,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Baños privados,Servicio de despertador/Reloj despertador,Microondas,Minibar,Utensilios de cocina,TV pantalla plana,Secador de pelo,Vista a la montaña,Vista a la ciudad,Habitaciones para no fumadores,Suites,Habitaciones para familias","Descubre por qué tantos viajeros ven a Blues Suites como el hotel ideal cuando visitan Medellín. Además de aportar la combinación ideal de calidad, comodidad y ubicación, ofrecemos un ambiente para viajeros con una amplia variedad de servicios a precios fantásticos.,Leer más",50
Hotel Du Parc,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Alquiler de bicicletas,Tours a pie,Los niños se alojan gratis,Transporte al aeropuerto,Estacionamiento vigilado,Wifi,Sauna,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Café instantáneo gratis,Bebida de bienvenida de cortesía,Comedor al aire libre,Menús para dietas especiales,Alquiler de autos,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fotocopiadora/Fax en el centro de negocios,Spa,Envoltura corporal,Masaje en pareja,Tratamientos faciales,Baño de pies,Masaje de pies,Masaje de cuerpo completo,Hammam,Masaje de manos,Masaje de cabeza,Fototerapia,Servicios de maquillaje,Manicura,Masaje,Masaje de cuello,Pedicura,Salón de belleza,Solárium,Sala de vapor,Servicios de depilación,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Minimercado,Cambio de divisas,Tienda de regalos,Hotel para no fumadores,Tiendas,Terraza solárium,Sombrillas,Kit de primeros auxilios,Paraguas,Check-in las 24 horas,Recepción disponible las 24 horas,Secador de ropa,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Escritorio,Máquina de café/té,TV por cable/satélite,Camas extralargas,Productos de tocador de cortesía,Habitaciones insonorizadas,Batas de baño,Servicio de limpieza,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Sofá,Teléfono,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Caja de seguridad para computadora portátil,Baños privados,Servicio de despertador/Reloj despertador,Kitchenette,Microondas,Minibar,Horno,Refrigerador,Cocina,Utensilios de cocina,TV pantalla plana,Radio,Secador de pelo,Vista a la montaña,Vista a la ciudad,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Du Parc Royal en Medellín ofrece alojamiento de lujo con los mejores estándares de calidad y un excelente servicio. ,Ubicado a solo dos cuadras del Parque Lleras, el hotel Du Parc cuenta con 50 habitaciones de lujo con modernos y elegantes detalles en su diseño, aire acondicionado, cajilla de seguridad, cocina completamente dotada, TV LCD por cable, conexión Wifi y desayuno tipo buffet de cortesía ,jacuzzi , sauna y turco. ,El Hotel Du Parc Royal donde se puede disfrutar la mejor experiencia con un excelente servicio e instalaciones , se encuentra ubicado en el exclusivo y agradable sector de El Poblado, de la ciudad de Medellín, sector turístico por excelencia, reconocido como el segundo centro urbano y el principal polo de esparcimiento y de negocios, con las llamadas Zona Rosa y la Milla de Oro.,El Hotel Du Parc Royal está contiguo a la avenida El Poblado y a varios centros comerciales y restaurantes, donde se puede disfrutar de una exquisita y variada oferta gastronómica; en pleno sector financiero y comercial de la ciudad.,El Hotel Du Parc Royal se halla a dos cuadras de la Iglesia de El Poblado; en un sector tranquilo y estratégico que asegura el confort de los huéspedes, al tiempo que facilita el acceso a los diferentes servicios de transporte de la ciudad, a pocos minutos del aeropuerto Olaya Herrera y a 45 minutos del aeropuerto José María Córdoba.,Leer más",45
Ibis Medellin,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Bar/Salón,Actividades infantiles (Ideal para niños / familias),Club de niños,Centro de negocios con acceso a Internet,Almacenamiento de equipaje,Hotel para no fumadores,Garaje de estacionamientos,Wifi,Restaurante,Desayuno disponible,Desayuno bufet,Bar de aperitivos,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Escritorio,Servicio de limpieza,Caja fuerte,Servicio de despertador/Reloj despertador,TV pantalla plana,Bañera/Ducha,Secador de pelo,Habitaciones para no fumadores","Ibis Medellin es una magnífica elección para viajeros que vayan a Medellín, ya que ofrece un ambiente tranquilo además de numerosos servicios diseñados para mejorar su estancia.,Las habitaciones de los huéspedes incluyen televisor de pantalla plana, aire acondicionado y mesa de escritorio, y Ibis Medellin te ayuda a que estés conectado, ya que dispone de wifi gratuito.,Además, los huéspedes pueden disfrutar de desayuno durante su visita. Otra ventaja añadida es que hay parking gratis disponible para los huéspedes.,Durante su estancia en Ibis Medellin, los huéspedes pueden visitar Cerro Nutibara (1,4 km) y Plaza Mayor (1,9 km), algunas de las principales atracciones de Medellín.,Mientras estés en Medellín no dejes de probar demandados platos de gambas en La Provincia, Carmen o Oci.Mde.,No faltan cosas que hacer por la zona: explora populares galerías de arte como Arte Loft Galería, H by HDC y La Pascasia.,¡Disfruta de tu estancia en Medellín!,Leer más",40
NH Collection Medellin Royal,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Garaje de estacionamientos,Wifi,Toallas para la piscina/playa,Piscina al aire libre,Piscina climatizada,Sauna,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bufé apto para niños,Bar junto a la piscina,Servicio de taxi,Salón de banquetes,Salas de reuniones,Spa,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Portero,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Escritorio,Servicio de limpieza,Servicio a la habitación,Máquina de café/té,Minibar,TV pantalla plana,Secador de pelo,Caja fuerte,Sala de estar,Teléfono,Servicio de despertador/Reloj despertador,Refrigerador,Habitaciones para no fumadores,Suites,Habitaciones para familias","Descubre por qué tantos viajeros ven NH Collection Royal Medellin como el hotel ideal cuando visitan Medellín. Además de aportar la combinación ideal de calidad, comodidad y ubicación, ofrece un ambiente de moda con una amplia variedad de servicios diseñados para viajeros como tú. Las habitaciones incluyen televisor de pantalla plana, aire acondicionado y minibar, y es posible permanecer conectado, ya que hay wifi gratuito disponible, para que disfrutes de tu descanso con comodidad. NH Collection Royal Medellin ofrece recepción abierta 24 horas, conserje y servicio de habitaciones. Además, como huésped de NH Collection Royal Medellin, puedes disfrutar de piscina y desayuno disponibles allí mismo. Los huéspedes que lleguen en coche tienen acceso a parking gratis. Durante su estancia en NH Collection Royal Medellin, los huéspedes pueden visitar Parroquia de San José de El Poblado (1,4 km) y Virgen Rosa Mística (1,5 km), que son algunas de las principales atracciones de Medellín. En Medellín hay un gran número de restaurantes. Así que cuando estés aquí, no te pierdas sitios como Mercado del Río, Zona Gastronómica de Provenza y Barrio Manila, donde sirven fantásticos platos. No faltan cosas que hacer por la zona: explora populares lugares históricos como El Museo El Castillo, Museo de Arte Moderno de Medellín y El Pueblito Paisa”. Estamos seguros de que disfrutarás de tu estancia en NH Collection Royal Medellin mientras descubres todo lo que Medellín tiene para ofrecer.,Leer más",45
The Charlee Lifestyle Hotel,"Garaje de estacionamientos,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Personal de entretenimiento,Entretenimiento nocturno,Libros, DVD, música para niños,Wifi,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina en la terraza,Piscina con vista,Piscina al aire libre,Piscina climatizada,Piscina privada,Vestuarios de gimnasio/spa,Clases de actividad física,Entrenador personal,Bar/Salón,Restaurante,Desayuno disponible,Desayuno en la habitación,Bar de aperitivos,Menús para dietas especiales,Vino/Champagne,Bar junto a la piscina,Bar en la terraza,Club nocturno/DJ,Cadenas de televisión para niños,Transporte al aeropuerto,Alquiler de autos,Centro de negocios con acceso a Internet,Salas de reuniones,Spa,Masaje,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Periódico,Hotel para no fumadores,Terraza solárium,Portero,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitación libre de alérgenos,Habitaciones insonorizadas,Aire acondicionado,Escritorio,Servicio de limpieza,Minibar,TV pantalla plana,Bañera/Ducha,Batas de baño,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Instalaciones de habitación VIP,Guardarropa/Ropero,Botellas de agua,Plancha,Refrigerador,Productos de tocador de cortesía,Vista a la ciudad,Vista a un lugar de interés,Habitaciones para no fumadores,Suites","Más allá del clásico concepto hotelero, The Charlee busca recrear el estilo de vida de sus huéspedes y visitantes, ofreciéndoles un alto estándar en cada uno de sus servicios, áreas inundadas de diseño y un personal que se esfuerza por hacerlos sentir únicos. En The Charlee, el arte es el protagonista de todos los espacios. Obras de artistas locales expuestas en las habitaciones y espacios comunes, fotografías, pinturas y esculturas que se integran con el diseño original y la moderna atmósfera del hotel, hacen parte de esta propuesta sexy y elegante. Somos diferentes y tenemos un estilo propio, es por esto que ofrecemos un servicio que trasciende las expectativas de nuestros huéspedes, pues pensamos más allá de sus necesidades. Es por esto también que contamos desde el 2015 con un servicio personalizado de concierge los 7 días de la semana a su disposición. En The Charlee. live. stay. be. unique. nuestros visitantes suelen ser jóvenes y adultos con gustos particulares por el arte, la música, el estilo de vida, el deporte, la diversión, y la cultura. Estamos ubicados en plena zona rosa del poblado (parque Lleras) un lugar lleno de vida nocturna y social, bares, restaurantes, boutiques, sitios de interés y reunión.,Leer más",40
