description,price,title
"Disfruta con esta guitarra Femmto de la conexión con la música. Está diseñada para aficionados y profesionales. Con este instrumento descubrirás nuevos acordes, entonarás tus canciones y disfrutarás de la vida musical.,Un modelo para cada guitarrista,La tapa de tilo tiene un peso y una densidad que te ofrecen un sonido con más cuerpo. Esta madera presenta un buen equilibrio de graves, por lo que suena con más peso rítmico y un tono suave.,Calidad que se hace notar,Las cuerdas de metal se caracterizan por su bajo estiramiento y resistencia a la corrosión y abrasión. Son más duraderas, sólidas y generan un sonido brillante y claro.",574.975,Guitarra Electroacústica Femmto Criolla AG003 para diestros natural arce brillante con ecualizador activo
"Descripción del vendedor,Fabricado por expertos con más de 40 años de experiencia en el mercado nacional, fabricando todo tipo de instrumentos de cuerda pulsada,Contamos con todos los procesos de fabricación certificados Por el Icontec, con sello de calidad Hecho a Mano.,Caracteristicas:,Guitarra Acústica,Reparto o tiro: 65 cm,Boquilla Adhesiva,Construida en cedro y pardillo,Clavijero: Sencillo Taiwanés,Cuerdas: 6 cuerdas en nylon,Artículos que incluye tu compra:,*Guitarra,*forro lona,*Puas,*Protector de rasgueo,*Correa Instalada con sus pines,*Curso en Cd,*Marcada con tu nombre,*Variedad de colores.,*Garantía de 6 meses por defectos de fábrica directamente con el fabricante.,Origen: Colombia,manufacturado en maderas seleccionadas y excelente acabado.,lo cual le dan una increíble apariencia e inmejorable sonido.",175.000,Guitarra Acústica Forro Correa Instalada Pics Antiragueo
"Disfruta con esta guitarra Femmto de la conexión con la música. Está diseñada para aficionados y profesionales. Con este instrumento descubrirás nuevos acordes, entonarás tus canciones y disfrutarás de la vida musical.,Un modelo para cada guitarrista,La tapa de caoba te ofrece un sonido cálido y muy limpio, a la vez que resalta las frecuencias graves y medias. Tiene un peso estándar y un mayor grado de densidad, resistencia y elasticidad.",363.900,Guitarra Acústica Femmto Criolla CG001 CG001 Para Diestros Naranja Madera Dura Laca
"Guitarra Acústica AF227-38,CARACTERISTICAS:,-Guitarra acústica Persian,-Tamaño “Clasical Style con Cutaway” (38”),-Tapa frontal de pino laminado,-Aros y fondo de tilo,-Bisel incrustado en ABS,-Roseta de sticker de diseño,-Diapasón y puentezuela de palo de rosa,-Puente y cejilla sintética,-Mástil de cedro,-Truss Rod (alma) de 1 vía,-Terminado brillante lacado,-Sonido disperso con enfoque de ecualización en las frecuencias medias altas,-Tipo de enfoque: Sonido de alta dispersión,NOTA: Las Cuerdas no tiene garantía,ENVÍO GRATIS",334.000,Guitarra Acústica Persian
"Guitarra acústica de bolsillo de 6 trastes, herramienta de práctica de entrenamiento de dedos azul,Descripción del producto:,guitarra portátil de bolsillo de 6 cuerdas y 6 trastes, dispositivo de práctica de guitarra para niños principiantes.,Una gran herramienta para entrenar las manos y mejorar tus habilidades con la guitarra. Mejora la,destreza de los dedos y acelera el progreso de la guitarra.,Tamaño pequeño, ligero y fácil de usar.,Accesorio de viaje para facilitar la portabilidad y la práctica.,Material: plástico, madera El,paquete incluye:,guitarra de bolsillo de,1 x 6 trastes, 1 dedo de entrenamiento Llave hexagonal ajustable, 1 bolsa de almacenamiento,notas:,Debido a la diferencia entre los diferentes monitores, la imagen puede no reflejar el color real del artículo.,Debido a la medición manual, puede haber un error de tamaño de 1 a 2 cm.,P: ¿Tienes stock?,R: Los productos que mostramos están en stock.,P: ¿Sobre el costo de envío y el tiempo de entrega?,R: Todos los productos son de envío gratuito, enviamos todos los productos desde China. El tiempo de entrega suele ser de 15 a 25 días.,P: ¿Proporcionan facturas?,R: Proporcionamos una factura electrónica si la necesita, puede ponerse en contacto con nosotros después de la compra. Sin embargo, tenga en cuenta que esta factura no se puede utilizar como factura fiscal porque no tiene el sello de la empresa.",78.125,Portable 6-fret Pocket Guitar Practice Tool
"Disfruta con esta guitarra Valencia de la conexión con la música. Está diseñada para aficionados y profesionales. Con este instrumento descubrirás nuevos acordes, entonarás tus canciones y disfrutarás de la vida musical.,Un modelo para cada guitarrista,La tapa de tilo tiene un peso y una densidad que te ofrecen un sonido con más cuerpo. Esta madera presenta un buen equilibrio de graves, por lo que suena con más peso rítmico y un tono suave.",337.900,Guitarra clásica Valencia 100 VC104K para diestros natural
"Guitarra Persian Folk electroacústica. Ecualizador con afinador, salida de audio en Plug y XLR para grabación en estudio. Recomendada por guitarristas profesionales. Cuerpo de maderas sólidas de 41"". Pino abeto y arce canadiense. Diapasón de ébano y clavijas de seguridad.,- Incluye estuche de Lona,- Cuerdas de Acero,- 20 trastes,NOTA: Las Cuerdas no tienen garantía,Guitarra electroacústica Persian,-Tamaño Folk (41”),-Tapa frontal de pino abeto,-Aros y fondo de sapeli,-Roseta tallada laser,-Bisel incrustado en ABS,-Diapasón y puentezuela de nogal negro,-Puente y cejilla sintética,-Mástil de caoba con refuerzo en fibra de carbono,-Truss Rod (alma) de 2 vías en fibra de carbono,-Terminado mate de poro semiabierto,-Clavijas individuales selladas cromadas de seguridad,-Ecualizador activo de 4 bandas con afinador integrado en pantalla LCD, salida dual (XLR y plug de 6,3mm),-Sonido disperso con enfoque de ecualización en las frecuencias medias/altas,-Tipo de enfoque: Sonido de alta dispersión,ENVÍO GRATIS,Garantía del vendedor: 4 meses",693.000,Guitarra Persian Folk Electroacústica. Af485ce Profesional
"Disfruta con esta guitarra Femmto de la conexión con la música. Está diseñada para aficionados y profesionales. Con este instrumento descubrirás nuevos acordes, entonarás tus canciones y disfrutarás de la vida musical.,Un modelo para cada guitarrista,La tapa de tilo tiene un peso y una densidad que te ofrecen un sonido con más cuerpo. Esta madera presenta un buen equilibrio de graves, por lo que suena con más peso rítmico y un tono suave.,Calidad que se hace notar,Las cuerdas de metal se caracterizan por su bajo estiramiento y resistencia a la corrosión y abrasión. Son más duraderas, sólidas y generan un sonido brillante y claro.",574.975,Guitarra Electroacústica Femmto Criolla AG003 para diestros azul arce brillante con ecualizador activo
"Preciosa guitarra acústica para niños pequeños, traen diseños espectaculares, después de la compra, puedes escoger el que desees.,Son perfectas para alentar a los niños a tocar instrumentos y que se diviertan muchisimo!!,Cada una trae su propio forrito, para que la guarden y no se dañe el hermoso diseño.,Recuerda siempre escribirnos luego de hacer el pago para escoger el diseño,IMPORTANTE: Si necesitas factura, por favor envíanos los datos además de una copia del rut luego de hacer la compra y con todo gusto te la enviaremos.,Recuerda que puedes comprar diferentes productos de nuestra tienda, usando la herramienta de ""agregar al carrito"",Estamos ubicados en Bogotá, también puedes escoger la opción de acordar la entrega con el vendedor.,¡¡Esperamos que te animes!!,Garantía del vendedor: 30 días",60.000,Guitarra Acustica Para Niños Pequeños Diferentes Diseños
"GUITARRA musical,ref  661B,Fantástica guitarra con luces y sonidos,Características:,- Incluye correa,- Requiere 3 pilas AA (no incluídas),CONSULTE COLORES DISPONIBLES,Edad ideal de uso:,+3 años,MEDIDAS DE LA GUITARRA,38 X 14 X 4 CM,Medidas del empaque,38 x 5,5 x 4 cm,material pvc y plástico,Disponible en tres colores,**************************************************************************************************************************************************************,MÁS DETALLES:,Garantía: Directamente con la Marca,Condición: Nuevo,**********************************************************************************************************************************************************************************************************************************************,MAS INFORMACIÓN DE NOSOTROS,Inversiones Mazugi,Cumplimos con distribuir a todo el país artículos para hogar,estamos ubicados en Bogota , somos tienda virtual y física,PRODUCTOS AL POR MAYOR Y DETAL",48.492,Guitarra Musical Luces Rosada  Niña Rock Juguete Sonidos
"Con más de un siglo en la fabricación de instrumentos musicales, Yamaha es una marca que habla por sí sola. Al ser una referente mundial de la industria musical, su sello de calidad en guitarras es un diferencial asegurado para tus canciones.,Un modelo para cada guitarrista,La tapa de abeto genera un tono brillante y claro, incluso en los registros más agudos.",890.000,Guitarra Electroacústica Yamaha CX40 para diestros natural palo de rosa brillante
"Disfruta con esta guitarra Femmto de la conexión con la música. Está diseñada para aficionados y profesionales. Con este instrumento descubrirás nuevos acordes, entonarás tus canciones y disfrutarás de la vida musical.,Un modelo para cada guitarrista,La tapa de tilo tiene un peso y una densidad que te ofrecen un sonido con más cuerpo. Esta madera presenta un buen equilibrio de graves, por lo que suena con más peso rítmico y un tono suave.,Calidad que se hace notar,Las cuerdas de metal se caracterizan por su bajo estiramiento y resistencia a la corrosión y abrasión. Son más duraderas, sólidas y generan un sonido brillante y claro.",574.975,Guitarra Electroacústica Femmto Criolla AG003 para diestros naranja arce brillante con ecualizador activo
"Preciosa guitarra acústica, con diseños espectaculares, escoge el que más te gusta!,Son perfectas para motivar a un ser amado a seguir sus sueños musicales!!,Cada una trae su propio forrito, para que la guarden y no se dañe el hermoso diseño.,Recuerda siempre escribirnos luego de hacer el pago para escoger el diseño,IMPORTANTE: Si necesitas factura, por favor envíanos los datos además de una copia del rut luego de hacer la compra y con todo gusto te la enviaremos.,Recuerda que puedes comprar diferentes productos de nuestra tienda, usando la herramienta de ""agregar al carrito"",Estamos ubicados en Bogotá, también puedes escoger la opción de acordar la entrega con el vendedor.,¡¡Esperamos que te animes!!,Garantía del vendedor: 10 días",169.999,Guitarra Acústica De Madera Diferentes Colores Y Diseños
